Name,Year,URL,Description
1,The Shawshank Redemption,1994,https://boxd.it/2aHi,
2,Reservoir Dogs,1992,https://boxd.it/2agc,
3,Fight Club,1999,https://boxd.it/2a9q,
4,Get Out,2017,https://boxd.it/eOCm,
5,Platoon,1986,https://boxd.it/29BS,
6,A Tale of Two Sisters,2003,https://boxd.it/248m,
7,A Clockwork Orange,1971,https://boxd.it/2aVE,
8,The Silence of the Lambs,1991,https://boxd.it/2aHW,
9,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,
10,Silent Hill,2006,https://boxd.it/2a3C,
11,Halloween,1978,https://boxd.it/2wRu,
12,Night of the Living Dead,1968,https://boxd.it/1WwA,
13,The Prestige,2006,https://boxd.it/293w,
14,Shaun of the Dead,2004,https://boxd.it/29J8,
15,Being John Malkovich,1999,https://boxd.it/2ahu,
16,Call Me by Your Name,2017,https://boxd.it/dYmm,
17,Ford v Ferrari,2019,https://boxd.it/ce74,
18,GoodFellas,1990,https://boxd.it/29FA,
19,Hot Fuzz,2007,https://boxd.it/2416,
20,Spirited Away,2001,https://boxd.it/2b4m,
21,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,
22,Boogie Nights,1997,https://boxd.it/23um,
23,Life of Pi,2012,https://boxd.it/37pC,
24,The Witch,2015,https://boxd.it/9X0m,
25,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,
26,Shutter Island,2010,https://boxd.it/1U82,
27,Dawn of the Dead,1978,https://boxd.it/29gU,
28,Groundhog Day,1993,https://boxd.it/2b3e,
29,Black Panther,2018,https://boxd.it/8MHs,
30,Back to the Future Part II,1989,https://boxd.it/2aYI,
31,Blade Runner 2049,2017,https://boxd.it/b8wK,
32,The Exorcist,1973,https://boxd.it/1Yoo,
33,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,
34,Schindler's List,1993,https://boxd.it/2aq2,
35,One Hour Photo,2002,https://boxd.it/1YT2,
36,A Fistful of Dollars,1964,https://boxd.it/2auo,
37,Pan's Labyrinth,2006,https://boxd.it/28No,
38,Hereditary,2018,https://boxd.it/hNVe,
39,Rocketman,2019,https://boxd.it/iehK,
40,Pineapple Express,2008,https://boxd.it/1WRS,
41,Jackie Brown,1997,https://boxd.it/2aVO,
42,BlacKkKlansman,2018,https://boxd.it/hxL8,
43,Gone Girl,2014,https://boxd.it/6hQu,
44,WALL·E,2008,https://boxd.it/1VEo,
45,Birdman or (The Unexpected Virtue of Ignorance),2014,https://boxd.it/5RFA,
46,A Quiet Place,2018,https://boxd.it/fVJQ,
47,District 9,2009,https://boxd.it/1Iik,
48,Alien Resurrection,1997,https://boxd.it/20zI,
49,300,2006,https://boxd.it/28XI,
50,Inception,2010,https://boxd.it/1skk,
51,Dawn of the Planet of the Apes,2014,https://boxd.it/3XyQ,
52,The Truman Show,1998,https://boxd.it/18U8,
53,Brokeback Mountain,2005,https://boxd.it/2b2q,
54,127 Hours,2010,https://boxd.it/SLa,
55,The Godfather: Part II,1974,https://boxd.it/2aNq,
56,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y,
57,The Imitation Game,2014,https://boxd.it/6aig,
58,1917,2019,https://boxd.it/jj4y,
59,No Country for Old Men,2007,https://boxd.it/21ew,
60,Les Misérables,2012,https://boxd.it/2TT4,
61,Requiem for a Dream,2000,https://boxd.it/29VI,
62,Guardians of the Galaxy,2014,https://boxd.it/3VH2,
63,Moonlight,2016,https://boxd.it/d6bE,
64,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
